Time(s);Average Density;Relative Energy;Maximal Velocity
0.434998;1.000301;112.250000;8.030158
0.435998;1.000329;111.000000;8.032510
0.436998;1.000298;109.500000;8.046076
0.437998;1.000351;107.750000;8.100223
0.438998;1.000410;105.500000;8.221835
0.439998;1.000455;107.000000;8.407318
0.440998;1.000409;109.500000;9.331378
0.441998;1.000448;113.000000;10.437207
0.442998;1.000486;115.500000;11.099618
0.443998;1.000393;112.500000;11.089237
0.444998;1.000515;110.250000;11.078994
0.445998;1.000520;112.000000;11.068883
0.446998;1.000477;111.750000;11.058904
0.447998;1.000392;113.250000;11.049051
0.448998;1.000368;113.500000;11.039324
0.449998;1.000333;113.500000;11.029717
0.450998;1.000328;111.250000;11.020229
0.451998;1.000328;112.000000;11.010856
0.452998;1.000395;107.750000;11.001595
0.453998;1.000465;107.250000;10.992442
0.454998;1.000464;107.750000;10.983395
0.455998;1.000509;110.500000;10.974450
0.456998;1.000486;110.250000;10.965606
0.457998;1.000357;109.750000;10.956859
0.458998;1.000349;109.250000;10.949362
0.459998;1.000371;108.500000;10.945034
0.460998;1.000390;107.750000;10.942451
0.461998;1.000400;107.500000;10.939846
0.462998;1.000397;107.250000;10.935702
0.463998;1.000374;105.500000;10.929181
0.464998;1.000348;106.750000;10.921309
0.465998;1.000397;103.500000;10.913508
0.466998;1.000429;104.000000;10.905777
0.467998;1.000442;103.250000;10.898110
0.468998;1.000411;101.500000;10.890509
0.469997;1.000430;100.750000;10.882966
0.470997;1.000375;97.750000;10.875484
0.471997;1.000436;97.500000;10.868057
0.472997;1.000416;95.250000;10.860685
0.473997;1.000447;93.250000;10.853365
0.474997;1.000473;96.750000;10.846093
0.475997;1.000359;97.000000;10.838868
0.476997;1.000259;95.250000;10.831690
0.477997;1.000436;93.000000;10.824555
0.478997;1.000545;87.250000;10.817463
0.479997;1.000477;86.250000;10.819688
0.480997;1.000468;85.750000;10.996911
0.481997;1.000405;83.750000;11.278699
0.482997;1.000473;84.000000;11.481671
0.483997;1.000507;83.250000;11.473755
0.484997;1.000450;85.750000;11.465879
0.485997;1.000390;85.250000;11.458131
0.486997;1.000449;85.250000;11.450571
0.487997;1.000532;83.500000;11.443117
0.488997;1.000502;84.750000;11.435731
0.489997;1.000438;86.750000;11.428405
0.490997;1.000458;85.750000;11.421136
0.491997;1.000470;89.500000;11.413905
0.492997;1.000373;91.500000;11.406698
0.493997;1.000365;88.500000;11.399513
0.494997;1.000469;86.000000;11.392351
0.495997;1.000548;87.000000;11.385210
0.496997;1.000393;91.250000;11.378089
0.497997;1.000382;91.500000;11.370989
0.498997;1.000453;90.250000;11.363909
0.499997;1.000525;89.750000;11.356851
0.500997;1.000477;91.750000;11.349821
0.501997;1.000485;92.000000;11.342821
0.502997;1.000505;92.250000;11.335850
0.503997;1.000597;93.500000;11.328897
0.504997;1.000498;97.500000;11.321959
0.505997;1.000554;97.750000;11.315041
0.506997;1.000543;103.500000;11.308138
0.507997;1.000513;112.750000;11.301251
0.508997;1.000535;113.750000;11.294382
0.509997;1.000558;114.000000;11.287528
0.510997;1.000666;112.500000;11.280691
0.511997;1.000619;113.000000;11.273869
0.512997;1.000599;116.000000;11.267063
0.513997;1.000539;121.750000;11.260274
0.514997;1.000509;123.250000;11.253501
0.515997;1.000532;121.500000;11.246743
0.516997;1.000531;121.750000;11.240025
0.517997;1.000503;119.750000;11.239549
0.518997;1.000489;119.750000;11.242950
0.519997;1.000446;119.750000;11.246356
0.520997;1.000483;113.750000;11.245803
0.521997;1.000611;104.000000;11.239988
0.522997;1.000780;105.000000;11.234250
0.523997;1.000685;123.500000;11.228662
0.524997;1.000568;133.750000;11.223249
0.525997;1.000592;129.750000;11.217993
0.526997;1.000590;124.000000;11.215755
0.527997;1.000612;122.750000;11.217062
0.528997;1.000616;120.750000;11.220251
0.529997;1.000623;123.750000;11.222827
0.530997;1.000574;126.750000;11.222750
0.531997;1.000593;122.250000;11.219486
0.532997;1.000675;123.000000;11.215976
0.533997;1.000611;131.000000;11.212601
0.534997;1.000605;139.500000;11.445960
0.535997;1.000516;142.000000;11.597413
0.536997;1.000511;130.250000;11.595376
0.537997;1.000622;126.000000;11.637621
0.538997;1.000632;130.000000;11.719770
0.539997;1.000586;133.750000;11.808908
0.540997;1.000577;134.250000;11.854838
0.541997;1.000597;135.500000;11.851768
0.542997;1.000507;137.500000;11.848613
0.543997;1.000536;137.750000;11.845361
0.544997;1.000522;136.500000;11.842004
0.545997;1.000597;134.750000;11.838553
0.546997;1.000540;136.500000;11.835024
0.547997;1.000585;138.500000;11.831407
0.548997;1.000572;141.500000;11.827676
0.549996;1.000603;135.000000;11.823789
0.550996;1.000645;132.750000;11.819736
0.551996;1.000667;142.250000;11.818210
0.552996;1.000567;151.250000;11.820531
0.553996;1.000606;155.750000;11.823414
0.554996;1.000732;160.750000;11.823164
0.555996;1.000729;172.750000;11.818929
0.556996;1.000655;186.500000;11.814484
0.557996;1.000677;193.500000;11.809825
0.558996;1.000742;198.250000;11.804944
0.559996;1.000818;199.750000;11.799840
0.560996;1.000896;206.500000;11.794507
0.561996;1.000799;215.500000;11.788942
0.562996;1.000894;219.750000;11.783143
0.563996;1.000895;222.000000;11.777106
0.564996;1.000892;223.500000;11.770831
0.565996;1.000990;235.000000;11.764316
0.566996;1.000928;254.750000;11.757558
0.567996;1.000841;270.500000;11.750559
0.568996;1.000868;260.250000;11.743316
0.569996;1.001007;266.000000;11.735831
0.570996;1.001008;281.000000;11.728105
0.571996;1.000978;285.250000;11.720139
0.572996;1.000971;308.000000;11.711932
0.573996;1.000892;328.500000;11.703489
0.574996;1.000863;319.500000;11.694812
0.575996;1.001036;310.750000;11.686092
0.576996;1.001111;324.250000;11.677699
0.577996;1.001021;353.500000;11.669828
0.578996;1.000977;371.250000;11.662460
0.579996;1.000868;374.750000;11.655358
0.580996;1.000956;382.500000;11.648155
0.581996;1.000971;393.750000;11.640708
